;artist.hotttnesss;bars_confidence;bars_start;beats_confidence;beats_start;duration;end_of_fade_in;familiarity;key_confidence;latitude;mode_confidence;release.id;song.hotttnesss;start_of_fade_out;tatums_confidence;tatums_start;tempo;terms_freq;time_signature_confidence;year;spotify_popularity;target_h
1396;0.471493227;16;0.24292;702;0.24292;108.93016;0;0.765141418;64;37.1573567501336;369;596461;0;108.93;662;0.04033;148.712;1;0;2009;0.16;0
1397;0.316724551;0.04;0.41853;1;0.04313;261.642;212;0.472247769;424;37.1573567501336;507;799348;0.212045406;252.825;629;0.04313;159.668;0.927188997;0;1995;NA;0.212045406
1399;0.401239122;73;2.17118;833;0.4106;201.32526;252;0.559901438;638;37.1573567501336;611;501877;0.303578663;182.288;0;0.19022;135.989;1;237;0;NA;0.303578663
1400;0.388527293;564;1.7231;511;1.14597;331.25832;5.195;0.563583586;618;37.1573567501336;0.59;153344;0;307.641;312;0.7539;103.634;1;66;1994;0.02;0
1403;0.324597715;1;0.36733;1;0.36733;269.40036;316;0.467955066;0.89;37.1573567501336;923;720452;0.464477293;255.466;454;0.17213;154.286;0.944580273;0;1982;0.19;0.464477293
1404;0.804830428;274;0.69874;707;0.69874;171.72853;67;0.871010614;0.76;37.1573567501336;649;15516;0.661061378;167.445;622;0.16839;86.007;1;1;2004;0.42;0.661061378
1405;0.324430892;974;0.34397;974;0.34397;337.60608;296;0.483243067;144;37.1573567501336;367;475847;NA;328.081;754;0.10784;127.582;0.969921695;0;0;0;0
1406;0.543706051;29;0.9045;838;0.26899;235.96363;0;0.676755655;207;37.1573567501336;406;318959;0.301681757;228.119;881;0.26899;98.001;0.999950696;1;0;0.03;0.301681757
1408;0.228428667;738;3.82879;776;0.46017;95.73832;0;0.310776523;171;37.1573567501336;203;225440;0.340922756;95.738;236;0.18653;78.139;1;733;0;0.01;0.340922756
1409;0.489458259;375;2.29989;375;2.29989;434.88608;0;0.679793556;437;52.47859;663;56996;NA;426.516;0;1.90201;84.437;0.946242348;0;1982;0.14;0.14
1411;0.393369406;12;1.08261;834;0.56155;215.84934;0;0.648692286;139;37.1573567501336;503;422320;0.425124658;215.849;0.89;0.29545;115.862;0.968747323;721;0;NA;0.425124658
1412;0.291183521;536;0.41022;0.53;0.10575;151.61424;0;0.509512016;756;40.71455;478;582290;0.427446572;151.614;575;0.10575;197.152;1;94;2001;NA;0.427446572
1413;0.487595648;88;1.59011;1;0.59048;257.74975;476;0.700570065;208;37.1573567501336;622;313166;0.666656369;239.816;243;0.59048;120.008;1;275;0;0.44;0.666656369
1414;0.362398213;0.21;0.61462;265;0.33158;50.1024;4.394;0.543247116;248;37.1573567501336;553;331266;0.439202489;50.102;265;0.33158;162.676;1;265;2000;NA;0.439202489
1415;0;28;0.6192;588;0.24531;240.29995;166;0.164853301;932;37.1573567501336;539;230893;NA;226.482;665;0.05603;166.124;1;0;0;0.55;0.55
1416;0.343428378;1;0.33999;1;0.33999;168.46322;276;0.487356791;448;37.1573567501336;489;522538;0.48456253;164.653;817;0.33999;105.459;1;373;2003;NA;0.48456253
1418;0.587869152;82;0.44732;0.57;0.06554;528.14322;0.38;0.840963901;765;37.1573567501336;591;669655;0.626760917;514.049;0.57;0.06554;175.663;0.924265781;736;1994;0.43;0.626760917
1419;0.398373123;156;0.32672;555;0.32672;185.5473;0;0.475721567;543;37.77916;0.49;249417;0;167.549;773;0.04395;106.127;0.992793463;42;0;0.08;0
1420;0.415582881;15;0.71961;1;0.21902;240.27383;415;0.572616246;59;37.33847;367;226889;0.425124658;236.495;1;0.21902;122.019;0.991834277;265;1996;0.14;0.425124658
1421;0.437964733;483;1.40522;229;0.60541;287.242;0;0.652367864;368;37.1573567501336;655;421963;0.299877488;272.62;494;0.40368;149.591;1;599;2001;NA;0.299877488
1422;0.373611112;92;0.93456;0;0.43781;305.05751;0;0.588608087;266;37.1573567501336;308;126115;0.513517029;305.057;401;0.06571;120.042;0.830141137;1;2006;NA;0.513517029
1424;0.245472718;12;0.66763;758;0.11467;197.0673;293;0.372052;0;34.82973;132;100101;NA;189.684;501;0.11467;116.539;0.935635047;1;0;0.14;0.14
1425;0.394908897;292;0.46876;389;0.46876;323.94404;578;0.710269167;882;40.71455;675;57035;0.525497119;318.624;104;0.23118;130.826;0.887465255;1;1999;0.09;0.525497119
1426;0.424953084;13;1.00916;795;0.29442;315.01016;308;0.674970293;0;37.1573567501336;0;1224;0.48306456;293.135;101;0.29442;95.869;0.898751785;534;1993;0.07;0.48306456
1427;0.537106284;43;0.26913;45;0.26913;294.08608;0;0.673325231;535;37.1573567501336;647;327478;0.327736683;285.838;1;0.26913;125.95;1;681;1998;NA;0.327736683
1428;0.677482479;55;0.91722;1;0.35764;196.20526;334;0.832011771;1;37.1573567501336;706;785446;0.918534291;179.664;1;0.07644;107.042;1;1;2010;0.59;0.918534291
1429;0.144684661;25;1.50744;682;0.87174;321.56689;0;0.632008013;355;37.1573567501336;443;290701;0.489030797;304.408;878;0.87174;93.848;1;563;1998;0.18;0.489030797
1430;0.344290296;115;1.22266;312;0.62372;262.79138;3.767;0.468080669;491;37.1573567501336;443;278560;0.360370583;252.302;197;0.17378;100.01;1;718;0;0.15;0.360370583
1431;0;35;0.64011;1;0.18548;354.11546;171;0.44576364;0;37.1573567501336;63;800483;0;348.508;1;0.18548;132.002;1;868;0;0;0
1432;0.30571906;2;0.76261;927;0.26929;224.91383;253;0.522888132;368;37.1573567501336;503;177206;0.349166902;217.205;1;0.26929;122.026;0.912036213;1;2005;0.2;0.349166902
1433;0;513;1.39721;911;0.31269;147.64363;308;0.293889992;747;37.1573567501336;797;351182;0;132.093;136;0.31269;111.267;0.964410814;659;0;NA;0
1434;0;825;0.70617;1;0.1401;192.73098;292;0.407448072;668;37.1573567501336;625;624496;0;184.291;511;0.1401;106.07;1;357;0;0;0
1435;0.324370661;233;0.19788;773;0.19788;181.18485;549;0.370466464;963;38.25486;731;599190;NA;175.926;215;0.19788;110.691;0.969945851;0;1997;0.45;0.45
1436;0.490768669;209;1.03265;522;0.45488;225.67138;0;0.778534708;709;37.1573567501336;723;428521;0.799499551;211.656;548;0.16173;103.647;0.89815918;889;2009;0.29;0.799499551
1437;0.410743578;11;1.15488;1;0.12302;160.07791;331;0.704093947;79;37.1573567501336;484;673155;0;157.217;889;0.12302;122.495;0.956615529;0;0;NA;0
1438;0.587869152;395;0.34749;395;0.34749;192.23465;0;0.840963901;677;37.1573567501336;0.68;763904;0.839849896;187.826;643;0.17147;167.263;0.924265781;0;1969;0.49;0.839849896
1441;0.467885511;742;0.34174;742;0.34174;102.94812;316;0.691850737;474;52.47859;512;533363;0.545937381;97.263;585;0.15796;161.196;0.961938144;84;2003;0.11;0.545937381
1442;0.383677983;76;2.39013;265;0.5303;227.5522;125;0.513467522;769;40.71455;615;639537;0;227.552;1;0.1577;64.734;0.878186717;666;0;0.16;0
1443;0.294789904;595;0.04833;595;0.04833;256.70485;311;0.379218061;29;37.1573567501336;0.38;505410;0;246.184;0.66;0.04833;51.265;0.959721211;0;1998;0;0
1445;0.578301634;0.01;0.97632;728;0.49141;216.92036;0.2;0.655921418;512;37.1573567501336;578;653590;0.549342332;209.572;1;0.24835;123.943;1;656;2003;0;0.549342332
1446;0.443930193;0;0.77221;0;0.77221;78.96771;2.218;0.621414328;791;37.1573567501336;627;282364;NA;71.21;0;0.24858;59.253;1;0;1984;0.05;0.05
1447;0.485881459;1;0.51732;926;0.18959;222.14485;328;0.819132291;48;40.71455;336;368796;0.270775999;212.161;266;0.18959;182.98;0.856551589;794;0;NA;0.270775999
1449;0.341904574;373;0.17255;373;0.17255;201.03791;0;0.560256829;162;-23.56287;308;175294;0.405115722;191.466;0.63;0.17255;128.664;0.970341277;24;0;NA;0.405115722
1450;0.295501622;389;0.09689;1;0.09689;200.59383;322;0.639568998;762;51.26143;957;347757;0;194.815;943;0.09689;113.063;1;214;1998;NA;0
1451;0.37368526;366;0.35746;888;0.35746;216.05832;113;0.483388547;0;33.98163;0;298847;0.473346541;206.878;728;0.16788;157.001;0.9600552;1;0;0.02;0.473346541
1452;0.427816989;213;1.53946;1;0.28613;232.80281;206;0.519246036;368;45.4215;528;98397;0.383934684;220.317;848;0.28613;98.623;1;345;0;0.03;0.383934684
1453;0;1;1.2002;0;0.05268;254.82404;1.437;0.268834253;265;37.1573567501336;371;580087;0;248.512;368;0.05268;104.02;1;805;0;NA;0
1454;0.430897609;88;0.55347;931;0.27679;233.42975;102;0.567510986;747;37.1573567501336;569;260755;0.427446572;225.495;0.39;0.1388;220.031;0.926334388;1;2007;0.02;0.427446572
1455;0.304911912;64;1.55615;1;0.41063;138.29179;0.16;0.421181869;642;40.65507;578;448416;NA;132.197;859;0.13128;103.189;0.95187615;0.25;0;0.04;0.04
1458;0.294161882;0.16;871;704;0.35262;245.44608;3.489;0.353712386;21;37.1573567501336;392;98200;0;235.282;178;0.35262;117.993;1;833;0;0.04;0
1459;0.371786734;287;1.46415;756;0.62074;227.60444;351;0.590360325;528;56.85147;659;22484;NA;204.788;432;0.40424;137.149;0.963241515;0;0;0;0
1460;0.396521303;113;1.19687;601;0.36105;173.66159;276;0.596189938;0.77;37.1573567501336;661;262149;0;164.281;601;0.36105;145.16;1;1;1994;NA;0
1461;0.550762085;84;0.47534;0.24;0.47534;253.49179;1.03;0.839275393;726;37.1573567501336;383;295350;0.672554372;243.188;411;0.19471;101.544;0.953021558;0;1995;0.4;0.672554372
1462;0.750311503;19;0.32785;0.38;0.32785;451.44771;0;0.843526543;134;37.1573567501336;231;8539;NA;444.418;1;0.09868;130.013;1;362;2004;0.55;0.55
1463;0.3065186;0.25;2.02258;0;0.27512;138.84036;3.466;0.378347969;278;33.74831;581;490242;0;133.869;0;0.27512;103.053;1;742;0;0;0
1464;0.278960162;176;1.81547;855;0.26014;317.54404;223;0.467583201;705;51.05563;613;77126;0;312.645;936;0.06491;82.634;0.939069124;1;0;NA;0
1465;0.377888131;95;0.72356;996;0.23632;159.60771;403;0.508676201;655;43.64856;461;555129;0.531722098;153.925;0.65;0.23632;125.1;0.999229538;0;1988;NA;0.531722098
1466;0.345284773;1;1.34714;1;1.34714;164.98893;4.238;0.31739138;106;37.1573567501336;357;218110;NA;164.989;167;1.34714;21.438;1;0;0;0.11;0.11
1467;0.563403566;702;0.33239;721;0.33239;254.51057;125;0.906619152;611;37.1573567501336;0.22;327332;0.494469709;241.458;502;0.16763;91.97;0.999903126;1;2006;NA;0.494469709
1468;0.32138373;84;1.01762;414;0.26433;100.8322;0;0.4621406;0.63;37.1573567501336;626;504423;0;97.274;487;0.07745;146.454;0.93249529;1;0;0;0
1469;0.049034381;137;3.31764;987;0.22925;44.19873;0;0.334542784;0;37.1573567501336;0;49859;0;44.199;0;0.22925;79.05;0.941261626;115;0;0.04;0
1470;0.248299798;187;1.84129;542;0.51489;267.33669;392;0.483854637;911;37.1573567501336;807;141264;NA;263.343;791;0.1779;89.696;0.89518587;0.94;0;0;0
1471;0.371777228;232;0.72702;322;0.72702;149.99465;223;0.635606117;0;37.1573567501336;0;559;0.265861049;147.18;215;0.29556;110.768;0.953406694;1;2004;0.02;0.265861049
1472;0.327875295;27;0.6353;756;0.0918;354.06322;67;0.478770834;91;37.1573567501336;354;98027;0.403798072;336.202;136;0.0918;105.982;0.999990088;28;2003;0.05;0.403798072
1473;0.401936415;11;0.6352;654;0.6352;213.55057;374;0.621587525;242;37.1573567501336;367;129313;0.646151234;208.962;475;0.42189;135.958;1;1;0;NA;0.646151234
1475;0.477798988;344;0.23476;351;0.23476;252.86485;0;0.697434586;457;37.1573567501336;425;569433;0.49271364;248.471;1;0.02185;93.32;0.917576608;1;0;NA;0.49271364
1476;0.310298996;35;0.67199;334;0.18993;203.83302;0;0.470414614;392;37.1573567501336;359;185934;0.334706549;198.798;623;0.03031;126.555;0.965969042;0;0;NA;0.334706549
1477;0.276997485;0.96;0.73503;0.96;0.73503;185.20771;595;0.414385653;941;37.1573567501336;673;782401;NA;175.102;0;0.38067;89.848;0.990335267;156;0;0.01;0.01
1478;0.299392787;111;1.08176;949;0.35583;223.50322;0;0.432074796;715;37.1573567501336;645;345122;NA;218.482;0.95;0.17648;165.271;0.919070641;0.58;0;0.07;0.07
1479;0.336141578;133;1.47903;1;0.2195;225.20118;104;0.545803433;489;35.67048;394;125738;0.499664862;219.649;363;0.2195;142.946;0.983018634;612;2006;NA;0.499664862
1480;0.379228069;9;1.01491;1;0.24029;192.26077;2.067;0.50087616;436;37.1573567501336;508;217883;0.288481643;188.111;935;0.04736;155.049;0.864721157;272;1998;NA;0.288481643
1481;0.667294596;5;2.24028;791;1.66899;268.95628;1.332;0.818319359;0.14;37.1573567501336;633;216969;NA;261.265;566;1.38335;106.002;0.999541099;0.62;2006;0.78;0.78
1483;0;71;1.52005;233;0.22676;180.79302;0;0.059626097;198;37.1573567501336;0.46;139457;0;180.793;335;0.22676;92.277;1;1;0;NA;0
1484;0.499826314;749;1.44259;0;0.46293;323.7873;14.518;0.722570574;697;39.55792;757;734257;NA;301.552;0.07;0.2177;122;0.999765395;1;1999;0.1;0.1
1485;0.351675722;399;1.47777;0;0.39067;200.28036;0;0.598739119;683;37.1573567501336;581;500537;0;185.22;55;0.39067;110.167;0.933309383;1;0;NA;0
1486;0.429097812;8;0.2478;0;0.2478;276.45342;0;0.636436672;63;37.1573567501336;453;639527;0.649950409;267.476;494;0.2478;150.012;1;828;2004;0.14;0.649950409
1489;0.586433379;469;2.14217;562;0.7884;223.92118;0;0.804523521;13;37.1573567501336;299;209869;0.754321059;218.117;656;0.45574;84.956;0.999766449;0;2003;NA;0.754321059
1490;0.461558452;78;0.5879;974;0.19126;242.28526;0.16;0.630928608;112;51.50632;204;139188;0.215080319;230.284;609;0.19126;152.02;0.832842044;965;1996;NA;0.215080319
1491;0;7;0.23066;1;0.23066;295.94077;229;0.325913065;0.19;37.1573567501336;191;508264;0.270746494;272.387;384;0.06301;120.954;0.830446431;669;0;0;0.270746494
1492;0.552413346;0.07;0.99509;1;0.2375;82.85995;172;0.798645179;302;37.1573567501336;639;9856;0.71817979;80.167;1;0.2375;159.212;0.920686051;378;2005;0.35;0.71817979
1493;0.394345275;32;1.41209;592;0.3812;274.46812;62;0.550874225;926;37.1573567501336;714;510115;0.215080319;253.626;715;0.1271;116.829;0.94234399;966;0;NA;0.215080319
1495;0.467538444;397;518;578;0.09693;170.84036;0;0.668674533;65;42.33168;215;706005;0.556739869;167.277;676;0.09693;145.18;1;0;2003;0.2;0.556739869
1496;0.341061399;193;0.93096;812;0.25369;170.23955;384;0.398858713;687;37.1573567501336;0.58;251441;NA;164.943;788;0.09028;91.488;1;315;0;0;0
1497;0.383010328;134;1.32855;897;0.61721;295.1571;351;0.505847111;841;29.95369;664;534155;NA;281.931;1;0.1425;85.006;1;485;0;0.16;0.16
1499;0;44;0.90812;479;0.90812;343.40526;0;0.430721866;683;37.1573567501336;588;23251;0;321.875;94;0.29322;78.666;1;661;1993;0.02;0
1501;0.383524247;32;1.34032;953;0.16544;257.20118;125;0.54858513;388;54.48303;455;19603;0.254921543;238.904;1;0.16544;101.663;1;846;2001;0.03;0.254921543
1505;0.364629908;11;0.11866;888;0.11866;259.52608;96;0.627375834;418;37.1573567501336;491;240748;0.572920148;244.233;462;0.11866;140.056;0.936346055;775;0;0.07;0.572920148
1507;0.599602643;5;1.42077;0;0.34149;317.36118;0;0.826075467;35;37.1573567501336;162;265245;0.656280958;299.508;139;0.20642;112.277;1;0.02;2007;0.25;0.656280958
1508;0.341259912;58;1.25606;1;0.23728;244.87138;194;0.586154418;745;41.88;567;9038;0.269341056;240.536;645;0.23728;120.521;1;523;1979;NA;0.269341056
1509;0.333303418;464;0.29196;534;0.29196;318.45832;287;0.426882762;552;37.1573567501336;435;143822;0.292097405;309.267;159;0.29196;71.533;1;708;0;NA;0.292097405
1512;0.360644227;0.59;0.09455;908;0.09455;156.42077;229;0.588571842;0.15;29.95244;309;91300;NA;149.014;314;0.09455;136.821;0.955634406;97;1997;0;0
1513;0.502974636;586;1.66497;276;1.66497;237.45261;5.317;0.698452539;542;37.1573567501336;521;213;0.43965466;218.506;276;1.66497;158.57;1;733;1991;0.08;0.43965466
1514;0.401098465;458;0.06821;458;0.06821;271.22893;397;0.625067009;731;37.1573567501336;0.62;197986;NA;268.301;819;0.06821;80.864;0.958751596;0;0;0.05;0.05
1517;0.522822342;127;0.21761;0.15;0.21761;224.28689;0;0.552575876;696;37.1573567501336;477;504793;NA;224.287;517;0.21761;130.136;1;641;2008;0.33;0.33
1518;0.312827767;0.02;1.05989;656;0.54704;149.18485;214;0.113542933;707;37.1573567501336;682;65452;0.405115722;143.941;749;0.28694;120.183;0.970502702;0;0;NA;0.405115722
1519;0.335469462;0.11;1.01605;895;1.01605;153.93914;0;0.430452961;0.74;34.05349;504;211003;NA;149.09;193;1.01605;186.128;0.760768456;0;0;0.02;0.02
1521;0.138461596;149;0.9718;866;0.32734;209.97179;386;0.257251522;752;37.1573567501336;804;660019;0;200.446;202;0.32734;93.265;1;663;2007;0.03;0
1522;0.328236584;838;0.80128;639;0.30656;206.18404;113;0.529794862;24;37.1573567501336;299;553262;NA;203.273;0;0.0592;128.399;0.935013434;483;0;0;0
1523;0.582921577;18;0.69873;699;0.3079;329.37751;79;0.79633706;264;37.1573567501336;413;290005;0.860070194;319.24;408;0.10851;150.077;0.99997762;516;1992;0.46;0.860070194
1524;0.403588238;394;1.21421;1;0.24096;167.6273;189;0.570825323;18;37.1573567501336;407;609053;0.525497119;156.497;1;0.24096;123.094;0.965454927;0;1994;0.04;0.525497119
1525;0.4165294;173;1.05552;486;0.54688;409.96526;0.49;0.633932726;43;37.1573567501336;256;739282;NA;391.872;373;0.29064;116.49;0.944116121;387;2008;0.13;0.13
1527;0.291451821;453;0.39153;0;0.39153;184.37179;2.624;0.450562133;518;36.06899;0.46;290943;0.495293621;169.912;409;0.16348;130.12;1;0;2003;NA;0.495293621
1528;0.367355344;846;1.1942;679;0.53121;189.07383;148;0.488237366;491;35.83073;549;249613;NA;178.335;695;0.20633;90.033;1;1;2009;0.08;0.08
1529;0.580013183;73;0.47292;314;0.47292;330.26567;3.21;0.567313224;714;37.1573567501336;716;1656;0.365143804;307.084;149;0.17494;133.155;1;847;0;NA;0.365143804
1531;0.779968005;37;1.02043;1;0.15832;260.33587;352;0.847451713;103;49.26044;433;112186;0.41910578;252.819;971;0.15832;140.027;0.999907748;852;2005;NA;0.41910578
1533;0.415937641;95;0.66032;833;0.23166;269.322;212;0.564710159;673;37.1573567501336;593;819293;0.511424326;250.363;1;0.23166;140.044;1;445;2003;NA;0.511424326
1534;0.282402199;155;5.36757;365;1.54237;180.37506;1.52;0.221726078;18;37.1573567501336;484;715295;NA;173.169;476;1.54237;60.509;1;487;2001;0;0
1535;0.435808285;738;0.6643;0;0.0487;154.38322;2.781;0.572943396;84;37.1573567501336;492;117369;0;136.725;521;0.0487;98.509;1;364;0;NA;0
1536;0.465499679;46;0.75178;207;0.31827;128.83546;0;0.636418948;611;42.98689;712;780297;0.62646424;116.599;892;0.10205;139.972;0.969700956;1;2010;0.21;0.62646424
1537;0.29911258;1;0.2135;1;0.2135;168.12363;138;0.488160852;0.61;37.1573567501336;638;131960;0.23571423;153.734;1;0.2135;94.994;1;0;0;NA;0.23571423
1538;0.301246881;496;1.04924;496;1.04924;234.68363;0;0.512740226;132;37.1573567501336;354;818087;NA;230.017;558;0.85647;102.605;0.951023541;1;0;0;0
1539;0.524378988;6;0.74298;1;0.25028;184.05832;189;0.844039532;0.44;37.1573567501336;468;226814;0.594362489;175.676;1;0.25028;131.121;0.999917452;0;2001;0.22;0.594362489
1540;0.755149913;374;1.04457;556;1.04457;282.85342;7.941;0.765357013;0.57;37.1573567501336;575;228741;0.520526511;282.853;87;0.80529;125.958;0.958328388;515;2008;NA;0.520526511
1541;0.351022621;0;0.24971;0;0.24971;178.75546;752;0.490586402;499;36.06899;559;174703;0;173.801;0;0.24971;163.083;0.945501228;0;0;0;0
1542;0;51;1.08258;851;0.54336;310.20363;189;0.429127119;582;37.16793;0.57;247671;NA;301.529;194;0.28157;115.919;1;854;0;0;0
1543;0.400705227;999;1.06505;889;1.06505;247.71873;2.339;0.595554054;96;37.1573567501336;434;104144;0;239.229;261;0.69995;80.996;0.941710026;502;0;NA;0
1544;0.448593803;358;3.39461;618;3.39461;241.97179;3.431;0.565089892;595;37.1573567501336;648;536803;0.488289876;227.91;547;3.21889;171.329;1;748;1994;0.09;0.488289876
1547;0.315065605;57;0.44676;358;0.02061;231.94077;0;0.44771445;216;37.1573567501336;311;451367;NA;228.194;842;0.02061;140.019;1;1;0;0;0
1548;0.144684661;44;1.41804;1;0.69322;291.83955;484;0.632008013;353;37.1573567501336;248;111304;0.38089898;274.419;0.72;0.33354;82.733;1;168;1982;0.25;0.38089898
1549;0.407239716;758;0.60953;758;0.60953;74.68363;0;0.591562633;0;37.1573567501336;99;480093;0.548678056;74.684;728;0.32794;104.805;1;0;0;0.09;0.548678056
1550;0.339404989;227;0.31903;488;0.31903;194.45506;0;0.588769029;133;37.1573567501336;0.17;407562;0;188.082;681;0.31903;84.461;0.971471101;365;2006;0;0
1551;0.520489571;89;2.23749;426;0.04222;187.24526;0;0.730246319;466;37.1573567501336;395;398420;0.494489518;187.245;975;0.04222;109.072;1;1;2008;0.05;0.494489518
1552;0.326750334;131;0.40432;829;0.07964;162.87302;386;0.505784763;85;36.068;651;174662;0;156.34;281;0.07964;174.609;0.960496666;655;0;0.03;0
1553;0.47070039;827;1.14385;0.85;0.54534;280.00608;148;0.7127449;485;44.97903;493;23369;0.775235363;265.346;736;0.24459;99.059;1;925;1998;0.52;0.775235363
1554;0.413254694;371;1.38721;884;0.4689;262.24281;218;0.620963981;423;37.1573567501336;0.53;507337;0.304169503;255.176;517;0.24533;130.513;1;438;2000;0.11;0.304169503
1555;0.408646827;429;0.55991;103;0.55991;419.68281;0;0.573843116;343;42.33168;476;613103;0;410.035;131;0.23495;93.924;0.90301582;428;0;0.07;0
1556;0.430897609;59;1.5823;0.58;0.57724;211.9571;0;0.567510986;418;37.1573567501336;364;138445;0.334706549;207.853;1;0.33306;120.583;0.926334388;1;1990;0.14;0.334706549
1557;0.23869635;0.04;1.23245;737;0.86503;244.27057;664;0.412867488;529;18.46617;1;613765;0;237.25;243;0.68086;162.984;1;141;0;NA;0
1558;0.299656226;687;0.14948;687;0.14948;46.86322;0;0.404197926;302;37.1573567501336;0.45;224623;0.424090811;43.027;392;0.14948;111.006;0.866944316;0;0;0.05;0.424090811
1561;0.485198263;133;0.76052;605;0.38048;233.66485;0;0.587466437;352;37.1573567501336;0.44;759814;0.56633949;219.794;301;0.19094;160.052;0.999599959;927;2006;0.05;0.56633949
1562;0.351345077;55;0.42964;808;0.42964;161.74975;0;0.521712214;256;30.33138;397;443790;0;156.143;961;0.42964;110.603;1;794;0;NA;0
1563;0.281396284;625;0.10441;625;0.10441;250.72281;154;0.405923907;777;55.67631;664;91162;0;235.961;625;0.10441;158.982;0.98315923;1;0;0;0
1564;0.43676907;127;1.64442;517;0.65217;109.16526;235;0.641172818;914;50.84838;772;295173;0.304169503;98.081;526;0.31982;63.334;1;905;1998;0.08;0.304169503
1565;0.398908898;2;0.63193;828;0.25324;215.43138;195;0.595166585;661;47.60356;417;189503;0.743943725;212.927;0.4;0.25324;157.532;1;91;1991;NA;0.743943725
1566;0.326429668;753;0.14107;753;0.14107;116.4273;0.09;0.491695071;767;39.17881;837;283150;0.405115722;107.7;656;0.14107;130.815;0.963624773;0;0;NA;0.405115722
1567;0.297949266;108;0.94375;638;0.54925;294.05995;0;0.352212817;858;37.1573567501336;695;789959;0;265.52;516;0.35102;150.782;1;1;2010;NA;0
1569;1.005941966;21;0.36478;0.74;0.36478;235.10159;0;0.845601887;748;37.1573567501336;617;13919;NA;211.574;567;0.0477;94.993;1;684;2000;0.26;0.26
1571;0.335041777;274;0.43198;662;0.22491;1054.37995;207;0.568427347;1;37.1573567501336;825;507547;0;1035.796;662;0.22491;246.5;1;873;0;0;0
1572;0;46;92;0;92;31.42485;0;0.240387119;0;37.1573567501336;0;796038;NA;31.425;547;92;123.709;1;0;0;0.06;0.06
1573;0.538491128;36;1.17493;1;0.39713;207.20281;166;0.750479817;725;37.1573567501336;529;269516;0.365143804;203.244;854;0.20204;154.603;1;451;0;0.11;0.365143804
1574;0.344405445;196;0.0341;578;0.0341;211.74812;142;0.584989173;595;37.1573567501336;481;505335;0.494489518;199.848;0.44;0.0341;216.196;0.878229834;0;0;NA;0.494489518
1575;0.37300074;143;0.82147;108;0.47597;279.74485;0;0.593119272;461;37.1573567501336;448;314435;0.510018725;272.747;108;0.47597;172.35;0.930923704;892;2008;0.12;0.510018725
1576;0.546545162;28;0.79557;894;0.2937;133.82485;456;0.840590438;576;35.2225;0.37;131598;0.372530039;133.825;532;0.2937;120.663;0.948459133;1;2007;NA;0.372530039
1577;0.397594324;5;0.69537;0.33;0.69537;267.67628;6.24;0.606885311;583;37.1573567501336;326;214125;0.419674279;260.946;627;0.5185;176.349;1;236;2000;0.02;0.419674279
1578;0.413393911;88;1.63851;623;0.50591;247.562;188;0.712098902;62;37.1573567501336;194;310652;NA;243.287;638;0.21641;106.435;1;494;2000;0.46;0.46
1581;0.405025455;35;1.05513;579;0.54615;166.42567;0;0.651583436;0.32;37.1573567501336;469;627408;0.650014515;162.058;319;0.28976;117.368;0.978561249;1;2008;0.12;0.650014515
1582;0.560819769;727;0.31729;727;0.31729;259.63057;4.708;0.768004235;0;32.61436;0;622883;0.360370583;257.295;95;0.31729;130.098;1;0;1999;NA;0.360370583
1584;0.395791274;3;0.66745;864;0.08195;156.29016;299;0.60383917;109;38.68193;597;788125;0;146.692;927;0.08195;108.417;0.978369095;445;0;0.03;0
1585;0.222794125;0.01;0.6363;497;0.12062;277.10649;0;0.560578608;565;37.1573567501336;528;576048;0.245284296;267.703;966;0.12062;116.992;1;0;2009;NA;0.245284296
1586;0;224;0.3553;464;0.3553;749.81832;0;0.300692709;61;54.31392;84;411833;0;741.918;0.35;0.3553;117.985;0.969204488;961;0;NA;0
1588;0.40606255;45;0.98493;1;0.49738;437.9424;0;0.609807806;256;37.27188;138;779118;NA;433.656;1;0.25661;123.994;0.90861493;0.95;2001;0.51;0.51
1589;0.297258384;63;0.04843;456;0.04843;338.02404;276;0.370667208;12;37.1573567501336;0.15;45071;NA;325.242;642;0.04843;77.352;0.967445292;1;0;0.01;0.01
1590;0.441945161;554;0.66881;377;0.24716;199.28771;2.212;0.63419618;392;37.1573567501336;474;326937;0.567591725;195.483;812;0.03528;141.749;1;554;0;0.07;0.567591725
1592;0.144684661;92;1.12729;607;0.3883;308.53179;0;0.455306613;398;37.1573567501336;417;242110;0;294.777;12;0.3883;81.828;1;1;0;NA;0
1594;0.286007518;483;1.55434;567;1.02148;204.14649;0;0.398544645;716;43.7427;0.7;78637;NA;196.54;583;0.75262;121.945;0.945726833;954;0;0;0
1595;0.526458224;201;1.01572;0.91;1.01572;227.70893;2.519;0.842431482;366;37.1573567501336;595;628505;0.927112122;223.266;306;1.01572;87.953;1;806;2008;0.81;0.927112122
1596;0.38065636;0;0.25772;0;0.25772;227.94404;3.901;0.601891975;708;53.07516;761;226418;0.239629098;215.754;0;0.25772;84.001;1;979;1998;NA;0.239629098
1597;0.329543323;3;0.34049;343;0.34049;246.07302;0;0.439634435;0;37.1573567501336;0;347112;NA;238.695;0.48;0.17438;179.831;1;0;1993;0.13;0.13
1598;0.325845945;919;0.64933;526;0.24703;341.75955;224;0.516273891;237;37.77916;0.37;239031;0;332.359;672;0.04588;120.731;0.930417093;529;0;0;0
